ticker,company_name,index_memberships,sector,industry,exchange
DELL,Dell Technologies,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals",
DG,Dollar General,S&P 500,Consumer Staples,Consumer Staples Merchandise Retail,
DGX,Quest Diagnostics,S&P 500,Health Care,Health Care Services,
DHI,D. R. Horton,S&P 500,Consumer Discretionary,Homebuilding,
DHR,Danaher Corporation,S&P 500,Health Care,Life Sciences Tools & Services,
DIS,Walt Disney Company (The),S&P 500,Communication Services,Movies & Entertainment,
DLR,Digital Realty,S&P 500,Real Estate,Data Center REITs,
DLTR,Dollar Tree,S&P 500,Consumer Staples,Consumer Staples Merchandise Retail,
DOC,Healthpeak Properties,S&P 500,Real Estate,Health Care REITs,
DOV,Dover Corporation,S&P 500,Industrials,Industrial Machinery & Supplies & Components,
DOW,Dow Inc.,S&P 500,Materials,Commodity Chemicals,
DPZ,Domino's,S&P 500,Consumer Discretionary,Restaurants,
DRI,Darden Restaurants,S&P 500,Consumer Discretionary,Restaurants,
DTE,DTE Energy,S&P 500,Utilities,Multi-Utilities,
DUK,Duke Energy,S&P 500,Utilities,Electric Utilities,
DVA,DaVita,S&P 500,Health Care,Health Care Services,
DVN,Devon Energy,S&P 500,Energy,Oil & Gas Exploration & Production,
DXCM,Dexcom,S&P 500,Health Care,Health Care Equipment,
EA,Electronic Arts,S&P 500,Communication Services,Interactive Home Entertainment,
EBAY,eBay Inc.,S&P 500,Consumer Discretionary,Broadline Retail,
ECL,Ecolab,S&P 500,Materials,Specialty Chemicals,
ED,Consolidated Edison,S&P 500,Utilities,Multi-Utilities,
EFX,Equifax,S&P 500,Industrials,Research & Consulting Services,
EG,Everest Group,S&P 500,Financials,Reinsurance,
EIX,Edison International,S&P 500,Utilities,Electric Utilities,
EL,Estée Lauder Companies (The),S&P 500,Consumer Staples,Personal Care Products,
ELV,Elevance Health,S&P 500,Health Care,Managed Health Care,
EME,Emcor,S&P 500,Industrials,Construction & Engineering,
EMR,Emerson Electric,S&P 500,Industrials,Electrical Components & Equipment,
EOG,EOG Resources,S&P 500,Energy,Oil & Gas Exploration & Production,
EPAM,EPAM Systems,S&P 500,Information Technology,IT Consulting & Other Services,
EQIX,Equinix,S&P 500,Real Estate,Data Center REITs,
EQR,Equity Residential,S&P 500,Real Estate,Multi-Family Residential REITs,
EQT,EQT Corporation,S&P 500,Energy,Oil & Gas Exploration & Production,
ERIE,Erie Indemnity,S&P 500,Financials,Insurance Brokers,
ES,Eversource Energy,S&P 500,Utilities,Electric Utilities,
ESS,Essex Property Trust,S&P 500,Real Estate,Multi-Family Residential REITs,
